schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	plan.txt:159-160	Final grep gate as written cannot pass alongside an immutable CHANGELOG	Historical CHANGELOG entries already match `\\.claude/skills/relevant-checks|\\b/relevant-checks\\b` dozens of times so CI or human verification following the plan will always fail or force mass unrelated CHANGELOG edits	Exclude CHANGELOG from the gate use a scoped grep over runtime surfaces only or require only new plus-one release section to be clean while documenting that historical bullets stay untouched
1	in_scope	important	risk-integration	Makefile:61-75,253-266 and docs/linting.md:192-197 and agent-lint.toml:521-523	Hook harness removal is incomplete in the plan beyond deleting script files	Leftover `test-hook-block-skill-relevant-checks` target PHONY entry harness shard and agent-lint allowlist rows keep referencing deleted tests and break `make test-harnesses` and agent-lint	Enumerate removing the Makefile target and `.PHONY` token dropping it from `test-harnesses-18` pruning the docs table row and deleting the two agent-lint.toml paths alongside hook deletion
1	in_scope	important	architecture	docs/installation-and-setup.md:202-217	Consumer dependency section is a full alternate install story not a tweak	The plan only says update setup steps while the file prescribes creating `.claude/skills/relevant-checks/` and SKILL.md which the feature removes	Call out explicitly rewriting the whole `/relevant-checks` consumer dependency section to `scripts/relevant-checks.sh` plus sibling contract and deleting the skill-scaffold steps
1	in_scope	important	correctness	skills/shared/subskill-invocation.md:98-99	Generic clause still frames direct `/relevant-checks` Skill invocations as in scope	Post-cutover prose contradicts deleted Skill and weakens anti-halt guidance for script-only validation	Plan should require retargeting that clause to `run-relevant-checks-captured.sh` and optional direct `bash scripts/relevant-checks.sh` only
1	in_scope	nit	architecture	README.md:8	TOC or intro line still anchors consumer dependency on `/relevant-checks` slug	Operators follow stale navigation into removed skill docs	Align the README navigation sentence with `scripts/relevant-checks.sh` in the same sweep as the catalog table
1	in_scope	nit	correctness	plan.txt:23-24	hooks.json line range is off by one versus current file	Implementors search wrong lines when editing	Pre-point to `hooks/hooks.json:24-33` or say locate the PreToolUse Skill matcher block
1	in_scope	latent	security	SECURITY.md:64 and plan Failure modes §3	SECURITY update is optional phrasing while skip path changes trust boundary	Silent skip with exit 0 is security-relevant observability for downstream repos	Make SECURITY.md update mandatory describing `RELEVANT_CHECKS_SKIPPED=true` stderr breadcrumb and that checks did not run
1	in_scope	important	correctness	plan.txt:159-160	Final repo-wide grep gate cannot succeed while CHANGELOG retains historical bullets matching the alternation	Verification step always fails or pressures unrelated mass CHANGELOG rewrites	Exclude CHANGELOG except the new release note narrow the file glob to runtime surfaces or document a historical-line exemption
1	in_scope	important	risk-integration	Makefile:4,61,75,253-266 docs/linting.md:192-197 agent-lint.toml:521-523	Hook test deletion is not paired with Makefile PHONY shard docs table and agent-lint allowlist cleanup	Stale targets and lint allowlists reference deleted harness scripts breaking make test-harnesses and agent-lint	Extend deletion checklist to drop test-hook-block-skill-relevant-checks from PHONY harness shard 18 Makefile targets and docs table plus agent-lint.toml paths
1	in_scope	important	architecture	docs/installation-and-setup.md:202-217	Install doc still scaffolds `.claude/skills/relevant-checks/` and names the hook	Consumers follow obsolete install steps after the hard cutover	Spell out rewriting the hooks table row and the entire consumer-dependency section for `scripts/relevant-checks.sh` plus sibling contract not only generic setup tweaks
1	in_scope	important	correctness	skills/shared/subskill-invocation.md:98-99	Generic anti-halt clause still names direct `/relevant-checks` Skill invocations	Orchestrator guidance contradicts deleted Skill and omits the new script-only surface	Add subskill-invocation.md to the sweep with replacement wording keyed to `run-relevant-checks-captured.sh` and optional direct `bash scripts/relevant-checks.sh`
1	in_scope	nit	correctness	plan.txt:23-24 hooks/hooks.json:24-33	Cited hooks.json line span is off by one versus current tree	Editors miss the Skill matcher block on first read	Update the plan citation to 24-33 or describe matcher by JSON path instead of fragile line numbers
1	in_scope	latent	security	SECURITY.md:64 plan.txt:96-99	Failure mode 3 documents trust impact but SECURITY.md update is framed as conditional	Operators lack a canonical security doc for silent skip semantics	Elevate SECURITY.md to a required update documenting RELEVANT_CHECKS_SKIPPED=true exit 0 and stderr breadcrumb meaning
