Reviewing the plan and codebase for the signal-lifecycle audit.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	plan.txt:88-89	Proposed KILL-escalation test uses `trap '' TERM; sleep 1860 &` in the test harness parent	Bash traps are not inherited by background children; `sleep` still exits on SIGTERM, so the test passes when TERM alone kills the child and never exercises the 5× `kill -0` loop or SIGKILL	Launch a TERM-ignoring child in the test body, e.g. `bash -c 'trap "" TERM; while sleep 1; do :; done' &`, write its PID to the paired file, then assert the process is gone only after ~5s (or use `kill -0` polling in the test)
2	in_scope	important	correctness	plan.txt:10	32-byte PID read mechanism is unspecified; plan only says strip trailing newline/whitespace	Using `read` with default IFS strips leading/trailing whitespace and can mishandle values like ` 123\n`; multi-line files may be partially accepted if only trailing bytes are stripped	Specify `raw=$(head -c 32 "$PAIRED_PID_FILE" 2>/dev/null || true)` (or `dd bs=1 count=32`), then strip only trailing CR/LF/space/tab; require the full residue match `^[0-9]+$` and `(( pid > 0 ))`
3	in_scope	important	correctness	plan.txt:10	Positive-integer rule is stated but not operationalized alongside digit-only validation	`0` or `000` matches `^[0-9]+$` but is not a positive PID; `kill -TERM 0` is dangerous/wrong on some platforms	After digit validation, require `(( pid > 0 ))` (Bash 3.2-safe); treat failure like missing/malformed file (WARN + return 0)
4	in_scope	important	correctness	plan.txt:10	Kill-loop body is described as “poll up to 5 seconds” without a counted loop contract	An unbounded `while kill -0` loop would hang forever on a TERM-ignoring process; a sleep-then-check loop can add an extra second beyond the intended grace window	Specify exactly: `kill -TERM "$pid"`; `for _ in 1 2 3 4 5; do kill -0 "$pid" 2>/dev/null || return 0; sleep 1; done`; `kill -KILL "$pid" 2>/dev/null || true` (no namerefs/mapfile)
5	in_scope	nit	correctness	plan.txt:10 / plan.txt:144	WARN breadcrumb text uses non-wire `larch:bc category=warn msg=...` phrasing	Implementers may print an invalid line or only `larch_err` text, so tests grepping `c=warn` on the stream fail and operators lose structured signal	Specify `emit_breadcrumb_stderr --category=warn 'paired-pid-file-missing'` when `LARCH_BREADCRUMB_STREAM` is set, else `larch_err 'WARN paired-pid-file-missing'` (category `warn` is in `larch_quiet_bc_valid_category` at scripts/lib-quiet.sh:131-135)
6	in_scope	nit	correctness	plan.txt:144-145 vs plan.txt:16	Edge cases promise CR/LF stripping on read; helper spec says only trailing newline/whitespace	Windows-style `123\r\n` can leave a trailing `\r` that fails digit checks or mis-parses the PID	Align helper and edge-case text: strip trailing `\r`, `\n`, space, and tab in a loop or via `tr -d '\r\n'` on the 32-byte slice before validation
7	in_scope	nit	correctness	plan.txt:16 / scripts/lib-quiet.sh:170-173	`larch_quiet_write_paired_pid_file` uses `${path}.tmp.$$` + `mv -f`, not `mktemp`	Behavior is still same-directory atomic rename (consistent with existing quiet helpers), but the plan’s “mktemp + mv” wording is misleading for implementers/docs	Keep `.tmp.$$` + `mv -f` (matches existing pattern) and fix plan/edge-case/docs to say “PID-suffixed temp + atomic mv”, not mktemp
8	in_scope	latent	security	plan.txt:10 / scripts/breadcrumb-monitor.sh:31-54 (proposed call site)	`larch_bm_validate_path` runs at argv parse when the paired file may not exist; no re-check at signal time	TOCTOU: a symlink swapped in after validation could make `kill` target an unexpected path/PID outside the session tmpdir	Re-run `larch_bm_validate_path --paired-pid-file "$PAIRED_PID_FILE"` (or at least `[[ ! -L "$PAIRED_PID_FILE" ]] && [[ -f "$PAIRED_PID_FILE" ]]`) immediately before read/kill in `larch_bm_signal_paired_pid`
9	in_scope	latent	integration	plan.txt:10	Grace-period signaling targets only the recorded bash PID, not a process group	Family B scripts that spawn long-lived children (e.g. `gh`, `npm`, agent CLIs) may survive monitor timeout SIGTERM to the parent shell	Document limitation in breadcrumb-monitor.md; optionally note follow-up to use `kill -TERM -"$pid"` only when same-session process-group semantics are verified safe on macOS/Linux
10	in_scope	nit	correctness	plan.txt:88-89	TERM-on-timeout test asserts “no longer alive” but not that SIGKILL ran after grace	With a fast-exiting stand-in, the test passes even if the 5-iteration loop is broken or skipped	For test (b), use a TERM-ignoring child (finding 1) and assert wall-clock delay ≥4s before exit, or wrap the child to record signal delivery
