finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Innovation, Codex-Innovation, Cursor-Requirements	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Innovation, Cursor-Requirements, Cursor-dyn-Scan Contract Integrity	rejected	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	true	nit	excellent	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Arch, Cursor-Innovation, Cursor-Requirements, Cursor-dyn-Scan Contract Integrity	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_4	Cursor-Innovation	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	major	in_scope
FINDING_5	Cursor-Innovation, Cursor-Requirements	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Innovation, Cursor-dyn-Scan Contract Integrity	rejected	NO	true	nit	good	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	true	nit	good	false	codex-pragmatism	minor	in_scope
FINDING_7	Codex-Arch	accepted	YES	true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_8	Codex-Arch, Codex-Requirements	accepted	YES	true	minor	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	in_scope
FINDING_9	Cursor-Pragmatic	neutral	YES	true	minor	good	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	minor	in_scope
FINDING_10	Cursor-Pragmatic	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	in_scope
FINDING_11	Codex-dyn-Scan Contract Integrity	rejected	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_12	Codex-dyn-Scan Contract Integrity	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	weak	false	codex-plan-fidelity	NO	partially-true	nit	weak	false	codex-pragmatism	minor	in_scope
FINDING_13	Cursor-Arch	rejected	NO	false-positive	nit	adequate	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	in_scope
OOS_1	Cursor-Innovation	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Innovation	neutral	NO	false-positive	nit	adequate	false	codex-validity	YES	true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Pragmatic	neutral	NO	true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	true	nit	excellent	false	codex-pragmatism	minor	oos
OOS_4	Cursor-dyn-Scan Contract Integrity	accepted	YES	true	nit	good	false	codex-validity	YES	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	minor	oos
