Reviewing the implementation plan and validating it against the codebase.
Issue #2898 confirms Item C is cross-vendor Codex reuse when the codex slot already succeeded in phase1. Validating assignment-line anchor behavior and whether the plan covers ledger writes after phase1.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/scripts/decompose-panel-dispatch.sh:131-142	Item C adds fallback_group only in dispatch-with-waterfall.sh; manifest rows are unchanged	#2885 scenario (cursor slot pattern-miss Codex fallback while decomp-codex-* already OK) never triggers dedup; Item C ships dead for the 8-slot panel	Add fallback_group per archetype to both jq manifest rows (e.g. decomp-${_a}) in the loop; document in decompose-panel.md
1	in_scope	important	correctness	scripts/dispatch-with-waterfall.sh:321-336	Ledger/dedup scoped to Phase-2 Codex launch; phase1 OK on sibling codex slot not specified	After phase1 collect, decomp-cursor-* can still launch redundant Codex in phase2 while decomp-codex-* already has OK + ## Recommendation	Record ledger rows for every settled external OK (phase1/2) when fallback_group is set; before phase2 launch_slot for tool=codex, scan ledger for group OK codex
1	in_scope	important	correctness	scripts/lint-foreground-markers.sh:212-244	is_anchor_for_basename matches basename inside quoted paths on assignment lines	WATERFALL_SH=.../dispatch-with-waterfall.sh lines (e.g. decompose-panel-dispatch.sh:145) fire without unset in prior 5 lines; planned unset before "$WATERFALL_SH" at :153 does not satisfy look-back for :145	Exclude simple VAR= assignments (no command substitution) from the new scan, or place unset immediately above each assignment alias line
1	in_scope	important	architecture	scripts/lint-foreground-markers.sh:212-244	New rule only anchors literal dispatch-with-waterfall.sh basename	Actual invocations use "$WATERFALL_SH" / "$DISPATCH_SH" / "$DISPATCH_WATERFALL" (decompose-panel-dispatch.sh:153, dispatch-panel.sh:404, aggregate-findings.sh:730) so unset is not lint-enforced on real exec lines	Extend scan to treat exec of vars assigned from .../dispatch-with-waterfall.sh within N lines as anchors, or require literal path at call sites covered by the rule
1	in_scope	latent	architecture	scripts/dispatch-with-waterfall.sh:48-53	Ledger path described via RESEARCH_/DESIGN_/REVIEW_TMPDIR env vars dispatcher does not read	Wrong ledger directory or cross-run leakage if implementer exports ad hoc tmpdir vars	Anchor ledger at dirname of resolved paths-file / slots-file under caller tmpdir (document in dispatch-with-waterfall.md)
1	in_scope	nit	correctness	skills/design/scripts/decompose-panel-dispatch.sh:145-171	Plan claims two dispatch-with-waterfall callsites; script has one invocation	Implementer may search for a nonexistent second callsite	Edit plan to single callsite at lines 153-159 (WATERFALL_SH assignment at 145 is not a call)
1	in_scope	latent	correctness	scripts/dispatch-with-waterfall.sh:48-53	Edge case promises symmetric Cursor ledger tracking; body is Codex-only before phase2	Cursor-primary slots in same group may still double Cursor fallbacks	Add explicit phase2 dedup for whichever alt tool is launched, or narrow edge-case prose to Codex-only
1	out_of_scope	latent	architecture	skills/design/scripts/dispatch-plan-review-panel.sh:1-200	10+12 slot plan-review manifest has same dual-vendor waterfall shape but no fallback_group wiring	Duplicate Codex work on large plan-review panels after decompose-only wiring	Track follow-up: add fallback_group per archetype pair in plan-review manifest or shared manifest builder
1	out_of_scope	latent	correctness	skills/design/scripts/test-decompose-panel-dispatch.sh:1-999	No harness update to assert single Codex launch with fallback_group	Regression slips for #2885 panel path	Add stub counter assertion or extend test-dispatch-with-waterfall coverage referenced from decompose harness docs

