finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-merge-log-path-output.txt|dyn-manifest-reconcile-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness-output.txt|dyn-merge-log-path-output.txt	rejected	NO	true	major	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	no-fix	false	cursor-validity	NO	partially-true	minor	weak	true	cursor-plan-fidelity	NO	partially-true	minor	adequate	true	cursor-pragmatism	in_scope
FINDING_4	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	in_scope
FINDING_6	cursor-specialist-correctness-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true		adequate	true	cursor-pragmatism	in_scope
FINDING_7	cursor-specialist-correctness-output.txt	accepted	YES	true		good	true	cursor-validity	YES	true	minor	good	false	cursor-plan-fidelity	YES	true	minor	good	false	cursor-pragmatism	oos
FINDING_8	cursor-specialist-correctness-output.txt	accepted	YES	true		adequate	true	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism	oos
FINDING_9	codex-specialist-correctness-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_10	codex-specialist-correctness-output.txt	accepted	YES	true	major	good	false	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	YES	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_11	codex-specialist-correctness-output.txt	rejected	NO	partially-true		adequate	true	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true		adequate	true	cursor-pragmatism	in_scope
FINDING_12	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_13	codex-specialist-edge-cases-output.txt|dyn-audit-tolerance-output.txt	accepted	NO	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_14	dyn-merge-log-path-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_15	dyn-manifest-reconcile-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_16	dyn-manifest-reconcile-output.txt	accepted	NO	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_17	dyn-audit-tolerance-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
