finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements	accepted	NO	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_2	Cursor-Arch	neutral	NO	partially-true	minor	good	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	oos
FINDING_3	Codex-Arch, Codex-Requirements	accepted	NO	partially-true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_4	Cursor-Arch	rejected	NO	true	minor	good	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	nit	good	false	Cursor	important	in_scope
FINDING_5	Cursor-Arch	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	important	in_scope
FINDING_6	Cursor-Innovation	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	important	in_scope
FINDING_7	Cursor-Innovation	rejected	NO	true	nit	good	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	good	false	Cursor	nit	in_scope
FINDING_8	Codex-Innovation	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	important	in_scope
FINDING_9	Cursor-Pragmatic	rejected	NO	true	minor	good	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	nit	good	false	Cursor	important	in_scope
FINDING_10	Cursor-Pragmatic	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	important	in_scope
FINDING_11	Cursor-Requirements	rejected	NO	true	nit	good	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	good	false	Cursor	nit	in_scope
OOS_1	Cursor-Arch	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_2	Cursor-Arch	rejected	NO	true	nit	weak	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	weak	false	Cursor	nit	oos
OOS_3	Cursor-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_4	Cursor-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_5	Cursor-Innovation	rejected	NO	partially-true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
OOS_6	Cursor-Pragmatic	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_7	Cursor-Requirements	rejected	NO	partially-true	nit	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	false-positive	nit	weak	false	Cursor	nit	oos
OOS_8	Cursor-Requirements	rejected	NO	partially-true	nit	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	false-positive	nit	weak	false	Cursor	nit	oos
