Reading the implementation plan and exploring referenced codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/larch-log.sh:452-510	Walker targets $RUN_DIR/breadcrumbs under the log staging tree	Live streams and sidecars live in $IMPLEMENT_TMPDIR/breadcrumbs (sibling of larch-logs), not under larch_log_run_dir; commit copies only src_path so breadcrumbs never reach larch-logs/<run-id>/breadcrumbs/ (failure mode #3)	Resolve session tmpdir from --log-root (e.g. dirname of log root for implement) or require IMPLEMENT_TMPDIR/DESIGN_TMPDIR/REVIEW_TMPDIR; walk <session_tmp>/breadcrumbs/*.ndjson; write redacted outputs into src_path/breadcrumbs/ before cp/git
2	in_scope	important	correctness	scripts/larch-log.sh:74-83	Commit walker likely ingests all regular files in breadcrumbs/	$IMPLEMENT_TMPDIR/breadcrumbs also holds .done, .status, .quiet, .surfaced, and monitor *.bc-offset/*.bc-redact-state files; copying them can leak EXIT_CODE lines or confuse auditors	Only ingest stream NDJSON (e.g. *.ndjson excluding *.*.ndjson sidecars or an allowlist basename pattern); reject symlinks and non-regular files per plan edge case
3	in_scope	important	correctness	scripts/ci-wait.sh:184-282	Progress migration uses emit_breadcrumb without emit_breadcrumb_stderr	When LARCH_BREADCRUMB_STREAM is unset, emit_breadcrumb prints to stdout/quiet log while larch_errf uses restored stderr; planned test-ci-wait unset case expects stderr unchanged	Add emit_breadcrumb_stderr to scripts/lib-quiet.sh (per prior #2790 design) and use it for ci-wait progress tiers; keep larch_err for hard errors; extend test-lib-quiet for stderr fallback
4	in_scope	important	integration	scripts/ci-wait.sh:191-255	Error-tier lines stay on larch_err when stream is set	Background ci-wait with monitor only surfaces larch:bc stream lines; timeout/bail/ci-status failures never appear as categorized breadcrumbs during the poll loop	Map timeout to --category=stall or warn, bail to escalate/warn, and suspend to network-flake via emit_breadcrumb(_stderr) when LARCH_BREADCRUMB_STREAM is set; reserve larch_err for usage/argument failures
5	in_scope	important	correctness	scripts/larch-log-batches.sh:6-34	New breadcrumbs batch uses non-enumerated sanitizer token	Adding a row without extending larch_log_validate_batch_payload and scripts/test-larch-logs-batches.sh:56 causes immediate harness/CI failure or unknown-sanitizer aborts on write	Either add a real sanitizer slug (e.g. streaming-redact) wired in lib-larch-log.sh or document breadcrumbs as commit-only (no batch row) and keep redaction solely in commit; update test-larch-logs-batches expected list if a slug is added
6	in_scope	important	correctness	scripts/test-larch-log.sh:122-205	Planned breadcrumb tests use synthetic RUN_DIR/breadcrumbs only	Harness can pass while production never copies IMPLEMENT_TMPDIR/breadcrumbs because commit reads the wrong directory	Add a case: mkdir IMPLEMENT_TMPDIR/breadcrumbs/*.ndjson with secrets, init/write under IMPLEMENT_TMPDIR/larch-logs, commit with IMPLEMENT_TMPDIR exported, assert repo larch-logs/.../breadcrumbs/ is populated and redacted
7	in_scope	important	correctness	scripts/larch-log.sh:452-510	No rollback if redaction fails mid-walk	After redacting file N-1 into src_path/breadcrumbs/, file N non-zero exit can leave a partial tree; a later retry commit could publish a subset	Redact into per-run temp dir then atomic mv into src_path/breadcrumbs, or delete src_path/breadcrumbs on any failure before cp/git
8	in_scope	latent	security	scripts/redact-secrets.sh:114-118	Streaming PEM tail exits 0 with WARN only	larch-log fail-closed on non-zero redactor exit will not abort when a breadcrumb file ends mid-PEM; truncated placeholder may commit without failing the commit	Treat streaming WARN unterminated PEM as non-zero for larch-log batch commit, or run a post-pass validator that rejects committed breadcrumbs still containing PEM markers
9	out_of_scope	latent	architecture	scripts/design-log-publish.sh:23-44	/design breadcrumbs not wired	$DESIGN_TMPDIR/breadcrumbs is not copied (publish only maxdepth-1 files); design collect-agent-results streams never reach larch-logs/design/<RUN_ID>/breadcrumbs/	File follow-up: extend design-log-publish or a design finalize hook to redact-copy DESIGN_TMPDIR/breadcrumbs into the published run tree (mirror implement commit contract)

**1. [correctness]** `scripts/larch-log.sh` commit path — Plan walks `$RUN_DIR/breadcrumbs/`, but runtime streams live at `$IMPLEMENT_TMPDIR/breadcrumbs/` (sibling of `larch-logs/`), not inside `larch_log_run_dir`. Commit only copies the staging tree, so breadcrumbs would silently never publish (matches failure mode #3). Resolve session tmpdir from `--log-root` / `IMPLEMENT_TMPDIR` and stage into `src_path/breadcrumbs/` before `cp`/git.

**2. [correctness]** `scripts/larch-log.sh` — Same tmpdir hosts `.done`, `.status`, `.quiet`, `.surfaced`, and monitor offset/state files. Walking “each regular file” without an `*.ndjson` filter can commit operational sidecars. Restrict to stream NDJSON basenames only.

**3. [correctness]** `scripts/ci-wait.sh` — Migrating progress `larch_errf` → `emit_breadcrumb` breaks the unset-stream stderr contract (`larch_errf` → fd 4; `emit_breadcrumb` → stdout/quiet log). Conflicts with the planned `test-ci-wait.sh` unset assertion. Add `emit_breadcrumb_stderr` per the earlier #2790 design.

**4. [risk-integration]** `scripts/ci-wait.sh` — Keeping timeout/bail on `larch_err` when `LARCH_BREADCRUMB_STREAM` is set means the foreground monitor never surfaces those lines from the stream during background CI wait. Use categorized `emit_breadcrumb` (or `_stderr`) for those tiers when the stream is set.

**5. [correctness]** `scripts/larch-log-batches.sh` — “sanitizer-required” is not in the `none|mermaid|plan-goals|json-lines|json-object` enum; `scripts/test-larch-logs-batches.sh` will fail if a batch row is added without plumbing. Plan omits harness updates.

