Reviewing the plan against stated requirements; reading the plan and exploring cited codebase paths.

schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/implement-bootstrap.sh:phase_plan_materialize	Call #15 omits write-tally.sh and plan-review-tally-body.md composition	Feature description and approach-synthesis require run-step1-plan-log plus write-tally.sh; run-step1-plan-log.sh only writes plan-goals-test. verify-run-log-completeness and Step 0 batch table expect plan-review-tally.json.	Add compose plan-review-tally-body.md and invoke write-tally.sh --phase plan-review --mode hard --rounds 0 ... after run-step1-plan-log.sh per skills/implement/SKILL.md:785-786.
2	in_scope	important	correctness	scripts/implement-bootstrap.sh:phase_plan_materialize	Plan materialize step order reverses copy-plan vs gh compose	Plan steps 3-4 run gh issue view before cp plan-from-issue.txt. Feature-description.txt, approach-synthesis.txt, and skills/implement/SKILL.md:691-702 order copy then compose. run-step1-plan-log.sh reads plan.txt after compose.	Reorder to snapshot then cp plan then gh compose then workflow-path then persist flags, matching SKILL.md and synthesis.
3	in_scope	important	risk-integration	skills/implement/SKILL.md:420-735	Removing dirty-tree checkpoint prose without post-bootstrap recovery routing	Plan sets IMPLEMENT_BAIL_REASON=dirty-tree without STALL_TRACKING. SKILL.md L420-429 routes only closed/PR/tracking-init bails and STALL_TRACKING to Step 18. L735 removal drops the only checkpoint reference; no implement dirty-tree AskUserQuestion prose exists elsewhere.	After bootstrap KV parse, add routing for IMPLEMENT_BAIL_REASON=dirty-tree: run checkpoint recovery AskUserQuestion flow then continue or bail; do not fall through to implementer waterfall.
4	in_scope	important	correctness	skills/implement/scripts/test-implement-bootstrap.sh:76-83;plan.txt:B5-plan	B5 slug acceptance cannot validate derivation via BRANCH_NAME tail	Plan asserts BRANCH_NAME from git-current-branch.sh stub with a static canned branch. Slug pipeline only affects create-branch.sh --branch argv. Static BRANCH_NAME passes regardless of issue title.	Parameterize gh stub title per iteration and assert invoke-log contains create-branch.sh --branch testuser/<expected-slug>-123 (or stub emits branch derived from title).
5	in_scope	important	correctness	skills/implement/scripts/test-implement-bootstrap.sh:76-83	Sandbox create-branch.sh stub has no --branch mode	Stub always emits --check KV. phase_plan_materialize calls --branch; B5 expects BRANCH_ACTION=created and invoke-log assertions.	Extend stub to branch on --branch: log argv to invoke-log, emit ACTION=created, honor LARCH_TEST_BRANCH_CREATE_RC for B6-style failures.
6	in_scope	important	architecture	skills/implement/scripts/test-implement-bootstrap.sh:589-611;plan.txt:B6-B10	New harness cases reuse B6 and B7 IDs already taken	Existing B6 is get-issue-state FAILED; B7 is unexpected issue state. Plan adds B6 persist-run-flags and B7 dirty-tree without renaming incumbents.	Rename new cases (e.g. B6-plan-flags, B7-plan-dirty) or renumber; update skills/implement/scripts/test-implement-bootstrap.md case table in the same edit.
7	in_scope	important	correctness	skills/implement/SKILL.md:363-417;plan.txt:KV parsing	Bootstrap tail keys parsed but not exported for downstream steps	Plan extends _ib_kv_scan for BRANCH_NAME BRANCH_ACTION PLAN_FILE but omits export lines. Removed prompt blocks set PLAN_FILE and BRANCH_NAME locally. Step 2 post-dispatch and ship paths expect BRANCH_NAME in orchestrator scope.	Add export BRANCH_NAME BRANCH_ACTION PLAN_FILE after the bootstrap KV loop; extend bootstrap routing table for run-flags-persist-failed and branch-create-failed.
8	in_scope	important	correctness	plan.txt:Testing strategy;skills/implement/scripts/test-implement-bootstrap.sh	B5 green-path omits preflight sandbox setup	Plan requires --preflight-tmpdir with plan-from-issue.txt but gives no harness steps to mktemp preflight dir, write plan-from-issue.txt, or pass path into run_bootstrap for B5/B6/B7/B9.	Document and implement preflight tmpdir fixture in each plan-phase case before run_bootstrap --up-to-phase plan --preflight-tmpdir "$PF_TMP" ...
9	in_scope	latent	plan.txt:Failure modes 1	Claimed invoke-log order regression guard is unspecified	Failure modes cite B-case invoke-log order failures as warning signal but no planned case asserts helper call order (only B6/B7 assert absence after bail).	Add green-path assert on invoke-log line order or numbered comment contract checked by awk in B5-plan.
10	in_scope	nit	correctness	plan.txt:144;scripts/run-step1-plan-log.sh	Harness comment misstates write-tally ownership	Plan says write-tally stub is defensive because run-step1-plan-log calls it internally; run-step1-plan-log.sh has no write-tally invocation.	Make write-tally.sh a required phase_plan_materialize step and a required sandbox stub; drop the defensive-only rationale.
