finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Waterfall Contract Auditor	accepted	YES	true	major	excellent	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Waterfall Contract Auditor	neutral	NO	false-positive	nit	adequate	false	codex-validity	YES	true	major	adequate	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	oos
FINDING_3	Cursor-Innovation, Cursor-Pragmatic, Cursor-dyn-Waterfall Contract Auditor	neutral	NO	false-positive	nit	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	oos
FINDING_4	Codex-Arch, Codex-Pragmatic	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	uncertain	minor	adequate	true	codex-pragmatism	major	in_scope
FINDING_5	Codex-Innovation	rejected	NO	false-positive	nit	adequate	false	codex-validity	NO	false-positive	nit	weak	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Requirements	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_7	Codex-Pragmatic	rejected	NO	true	minor	good	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	false-positive	nit	good	false	codex-pragmatism	major	in_scope
FINDING_8	Cursor-Pragmatic, Codex-dyn-Waterfall Contract Auditor	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_9	Cursor-Pragmatic	accepted	YES	true	major	excellent	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_10	Cursor-Arch	rejected	NO	false-positive	nit	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	weak	false	codex-pragmatism	major	in_scope
FINDING_11	Codex-Innovation	rejected	NO	false-positive	nit	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	weak	false	codex-pragmatism	minor	in_scope
FINDING_12	Codex-Pragmatic	rejected	NO	false-positive	nit	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	weak	false	codex-pragmatism	minor	in_scope
FINDING_13	Codex-Requirements	rejected	NO	false-positive	nit	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	weak	false	codex-pragmatism	major	in_scope
OOS_1	Cursor-Arch	accepted	YES	true	minor	no-fix	false	codex-validity	YES	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Arch	accepted	NO	true	nit	no-fix	false	codex-validity	YES	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Innovation	rejected	NO	partially-true	nit	no-fix	false	codex-validity	NO	uncertain	nit	no-fix	true	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	minor	oos
OOS_4	Cursor-Pragmatic	neutral	NO	false-positive	nit	no-fix	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	oos
OOS_5	Cursor-Pragmatic	rejected	NO	true	nit	no-fix	false	codex-validity	NO	true	minor	no-fix	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	minor	oos
