1	the plan updates fence-shape expectations but omits `scripts/test-implement-structure.sh`, which pins pre-driver launcher strings and retry prose in `skills/implement/skill.md`. replacing the three pre-driver fences with `python/cli.py ship pre-driver` removes required substrings (launcher pins at lines 103–104 and retry text at line 195). `make lint` fails via `test-harnesses-12` even if `test-implement-fence-shape.sh` passes.
1	the plan reuses `step8_python_guard_main([])` in-process while requiring exactly one `next_action=...` line on stdout. on python &lt;3.11 (and on guard failure generally), that helper prints the stalled json object to stdout before returning 4. a merged `ship_pre_driver_main` that also emits `next_action=stall` on stdout would produce multiple stdout lines, breaking orchestrator `next_action` parsing and step 8 routing.
1	moving the step 8 python-version guard behind `python/cli.py ship pre-driver` places it after `cli.py`'s global python 3.11 version gate. on python &lt;3.11, `cli.py` exits 2 before `ship_pre_driver_main` runs, so the process never emits `next_action=stall` or preserves the existing guard exit-4 stall contract.
1	pre-driver skill prose must map `next_action=stall`, `next_action=halt`, and `next_action=ship` to the correct orchestrator continuations without regressing guard vs seeder vs oos handling. today guard exit 4 routes through distinct stall logic; seeder non-zero halts before oos/ship; oos non-zero logs tool failures and routes to step 18. the plan defines `next_action` values but does not fully pin differentiated routing prose, and reviewers disagree whether pre-driver guard stalls should reference `ship-pr-exit-matrix.md` (written for post-driver `step-8-ship.sh` json) or a direct pre-driver stall path.
1	the plan replaces pre-driver fences around lines 826–842 but leaves recovery and post-driver prose (lines 848–850, and related retry text) describing a three-step `guard → seeder → oos file` chain. orchestrators following recovery text on turn recovery may skip `ship pre-driver` or expect three separate fences, conflicting with the single merged verb.
2	the planned oos pre-driver stage may use `_run_cli_forward`, which replays captured child stdout to process stdout. `oos file` always emits a json line on stdout (`python/oos_filer.py` ~893). that would prepend json before `next_action=ship|halt`, yielding multi-line pre-driver stdout and breaking the single-line `next_action` contract and orchestrator routing on the hot path.
2	planned `next_action=stall` routing to step 18 conflicts with the live pre-driver guard exit-4 contract. today item 1 sends guard exit 4 through `ship-pr-exit-matrix.md`, whose exit 4 branch requires continue to step 16 with `stall_tracking` before step 18. rewriting stall handling to step 18 only risks skipping the step 16–17 final report on python guard failure while also claiming to follow the existing pre-driver guard contract.
3	the plan replaces a top-level `oos file` call (`("oos", "file")` is in `_machine_stdout_keys`, which sets `larch_quiet_disable=1` in `cli.py` `main()`). `ship pre-driver` is not listed. under inherited quiet (`larch_quiet_active=1`), `next_action=...` can be redirected off orchestrator-visible stdout. the python <3.11 fast path prints before dispatch and also skips quiet disable.
3	the merged verb emits `next_action=halt` for both seed failure and oos failure, but skill routing requires different orchestrator continuations: seed halt preserves tmpdir for pre-driver retry without step 18; oos halt logs tool failures and routes to step 18. after collapsing three fences into one, stdout no longer carries stage context and exit codes overlap (both paths can return 1 or 2), so the orchestrator cannot choose the correct branch reliably.
4	skills/implement/skill.md:818 stale pre-driver guard prose survives the fence merge. scenario: the plan replaces pre-driver items 1-3 with `python/cli.py ship pre-driver` but does not call out the intro paragraph at line 818, which still says the shared wrapper guard below stays load-bearing for orchestrated pre-driver runs. after the merge there is no guard fence below that sentence; pre-driver guard runs in-process inside `ship_pre_driver_main`. orchestrators or recovery turns that still treat `step-8-python-guard.sh` as the pre-driver entry can skip the merged verb or mis-route stall handling.
5	the plan collapses pre-driver items 1–3 into a single `python/cli.py ship pre-driver` fence with `next_action` routing, but does not explicitly address the standalone paragraph at `skills/implement/skill.md:844-845 (“always invoke it… disposition-checkpoint… flush_logs_pre… proceed to step-8-ship.sh on exit 0”). that block currently sits after the retired item-3 fence, still describes direct `oos file` exit-code orchestration, and carries load-bearing pre-ship oos evidence, checkpoint timing, never #16 flush-before-merge semantics, and halt-before-ship routing. after the merge it becomes orphaned or conflicting: recovery turns may revive three-fence semantics, skip `ship pre-driver`, misroute before the ship driver, or drop operator contract that `next_action` tokens alone do not supersede.
