1	`/implement` step 5 mav/coder resume-handoff calls `step-5-resume.sh --ready-to-commit`, not `python/cli.py implement step-5-resume`. that shell wrapper still runs `review-and-fix commit-fixes --stage-all` inline and emits `commit_outcome`, not `next_action`. the plan refactors `step5_resume_main` and thins skill prose to parse `next_action`, but leaves the production hot path unchanged. the third duplicated hand-parse site stays live; durable stall seeding and `next_action=stall` routing will not run for resume-handoff.
1	`step-5-resume.sh` and `_step5_resume_commit_phase` probe `git status --porcelain` after `commit_outcome` `ok`/`noop` and fail closed before re-entering `review-and-fix step5`. the planned shared `commit_route_main` gates only on `commit_outcome` and explicitly omits porcelain for self-review and step 7. reusing it verbatim for resume-handoff without a resume-only probe lets a dirty tree re-enter the review loop and breaks the hardened contract in `step-5-resume.md` and `scripts/test-implement-structure.sh`. thinning orchestrator prose to `next_action` only also risks porcelain failures reaching step 6/18 without `resume-handoff-commit-failed` durable bail if stall seeding is not wired on that path.
1	`make lint` runs `scripts/test-implement-structure.sh`, which requires current `step-5-resume.sh` commit/porcelain needles and skill strings for `commit_outcome` parsing, `stall_reason=review-fix-commit-failed`, and resume-handoff lacks-envelope rules. the plan removes that orchestrator parsing in favor of `next_action` but lists only `may_update` for `test-implement-fence-shape.sh`. implementers can pass pytest yet fail `make lint` after skill-only edits.
1	`commit-route` will emit orchestrator routing kvs (`next_action`, commit kvs). verbs like `implement step-8-oos-checkpoint` are in `_machine_stdout_keys` so quiet mode sets `larch_quiet_disable` and does not suppress machine stdout. without enrollment, direct skill fences for self-review, resume-handoff, and step 7 may miss `next_action` under quiet runs.
1	resume-handoff uses an immediate-background `step-5-resume.sh` fence whose orchestrator parses stdout after notification. if `commit-route` returns non-zero on stall without a documented rc=0 envelope (unlike `step8_oos_checkpoint_main`), the wrapper may be classified as generic preflight failure instead of `next_action=stall`.
1	skills/implement/scripts/step-5-resume.sh:108-140 [scope-reduction] resume handoff hot path not wired to commit-route. scenario: /implement invokes step-5-resume.sh --ready-to-commit (skills/implement/skill.md:650), not implement step-5-resume. the plan updates step5_resume_main only (plan.txt implement_dispatch.py) and thins orchestrator prose to parse next_action, but lists no change to step-5-resume.sh or the skill fence. the bash wrapper will keep emitting commit_outcome without next_action=stall and without seeding ship-pr-state.sh; orchestrator will not reach step 18 with durable stall state on mav/coder commit failure.
2	the planned `commit-route` contract emits `next_action=stall|continue`, and skill/orchestrator prose will branch on it in the lacks-envelope path. but `relay_commit_kvs` in `step-5-resume.sh` and `_step5_resume_relay_commit_kvs` in `implement_dispatch.py` only forward `committed`/`error`/`sha`/`commit_outcome`. the wrapper plan says "relay commit kvs" on stall/continue, not `next_action`. after `commit_outcome` parsing is removed from skill.md, combined wrapper stdout seen by the orchestrator will lack `next_action=`, so `next_action=stall` routing and lacks-envelope branching cannot fire even when `commit-route` seeded durable bail and returned rc 0.
2	current skill.md (lines 655–657) has a second lacks-envelope branch: `commit_outcome=ok|noop` without `step5_review_status=` routes to step 5 preflight/resume failure (skip to step 18), not step 6. the plan replaces the first branch with `next_action=stall` and adds non-zero rc without `next_action=continue` → preflight, but never states that `next_action=continue` without `step5_review_status=` still requires the review-loop envelope before step 6. after a successful `commit-route`, a later `review-and-fix step5` preflight failure (wrapper rc zero or non-zero) with no `step5_review_status=` could fall through toward step 6 and violate never #4. round-1 finding_6 stays open under the thinned prose.
2	the `for script in [...]` block at `scripts/test-implement-structure.sh:99–118` requires `bash "$implement_tmpdir/larch-run.sh" python/cli.py review-and-fix commit-fixes --stage-all` in skill.md. the plan swaps self-review to `implement commit-route --site step5-self-review` but the harness update section does not mention this launcher row. `make lint` will fail after skill edits even if other needles are updated.
2	the plan adds a bounded `commit-route` diagnostic and appends it with `run-log append-failure`, but does not require `--redact`. raw `git commit` or hook stdout/stderr can then be copied into committed execution issues, expanding the old prompt-side `error=` surface into an unredacted log surface.
3	the plan makes commit-route return non-zero with no next_action when durable stall seeding fails, but the planned self-review and step 7 prose only branches on stall or continue. missing, duplicated, malformed, or non-zero-without-next_action output on those foreground fences can fall through or halt inconsistently instead of fail-closing before step 6, step 7a, or step 8.
