finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt	rejected	NO	true	major	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt	neutral	YES	true	major	good	false	cursor-validity	NO	partially-true	major	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-correctness-output.txt|dyn-cutoff-timing-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_4	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	excellent	false	cursor-validity	YES	true	minor	excellent	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_5	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-coverage-gates-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
FINDING_6	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_7	codex-specialist-edge-cases-output.txt|dyn-cutoff-timing-output.txt|dyn-coverage-gates-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_8	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_9	cursor-specialist-testing-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true		good	true	cursor-plan-fidelity	NO	true		good	true	cursor-pragmatism
FINDING_10	cursor-specialist-testing-output.txt	rejected	NO	true	nit	weak	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_11	dyn-cutoff-timing-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_12	dyn-cutoff-timing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_13	dyn-cutoff-timing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_14	dyn-coverage-gates-output.txt	rejected	NO	true		no-fix	true	cursor-validity	NO	true		no-fix	true	cursor-plan-fidelity	NO	true		weak	true	cursor-pragmatism
