finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-generic-output.txt|dyn-deps-cli-tests-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	good	false	cursor-pragmatism
FINDING_4	cursor-specialist-correctness-output.txt|dyn-deps-safety-output.txt|dyn-deps-cli-tests-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_5	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	good	false	cursor-validity	YES	true	minor	good	false	cursor-plan-fidelity	YES	true	minor	good	false	cursor-pragmatism
FINDING_6	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_7	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	weak	false	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	adequate	false	cursor-pragmatism
FINDING_8	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_9	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_10	cursor-specialist-edge-cases-output.txt|dyn-deps-cli-tests-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	partially-true	major	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_11	cursor-specialist-edge-cases-output.txt|dyn-deps-safety-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_12	cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_13	cursor-specialist-testing-output.txt|dyn-deps-cli-tests-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_14	codex-generic-output.txt|dyn-deps-safety-output.txt|dyn-deps-cli-tests-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_15	dyn-deps-safety-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_16	dyn-deps-safety-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_17	dyn-deps-safety-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	major	adequate	false	cursor-plan-fidelity	NO	true	major	adequate	false	cursor-pragmatism
FINDING_18	dyn-deps-cli-tests-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_19	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	adequate	false	cursor-pragmatism
FINDING_20	cursor-specialist-testing-output.txt	rejected	NO	uncertain	nit	adequate	true	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	adequate	false	cursor-pragmatism
FINDING_21	cursor-specialist-testing-output.txt	rejected	NO	uncertain	nit	adequate	true	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	adequate	false	cursor-pragmatism
FINDING_22	dyn-deps-safety-output.txt	rejected	NO	partially-true	nit	weak	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	partially-true	nit	weak	false	cursor-pragmatism
FINDING_23	dyn-deps-safety-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
