schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/SKILL.md:163-168	Plan assumes SESSION_ID is parsed in Step 0 but the skill only instructs parsing SESSION_TMPDIR and reviewer flags	design-log-publish.sh receives empty --run-id; wrong RUN_ID directory or missing-run-id abort	Extend Step 0 instructions to parse emit_kv SESSION_ID from session-setup.sh output (per scripts/session-setup.sh:282-283) and thread it to Step 5
1	in_scope	important	risk-integration	skills/design/SKILL.md:48-92:784-785:851-853	New best-effort warnings and publish output are unguarded while nested runs must stay artifact-only and the terminal machine line must be the last stdout line	Extra user-visible lines during nested /design; possible violation of one-line machine footer contract	Gate user-visible warnings on empty SESSION_ENV_PATH; run publish before the terminal footer and keep the footer strictly last per Step 5 contract
1	in_scope	important	risk-integration	skills/design/SKILL.md (Step 5 snippets): no REPO variable	tracking-issue-write.sh and design-log-publish.sh --repo calls have no defined value in the skill text	Calls fail closed or hit wrong repo	Define REPO once e.g. scripts/resolve-repo.sh (same pattern as skills/fix-issue/scripts/find-lock-issue.md:7) and pass it through Step 5
1	in_scope	important	correctness	scripts/create-pr.sh:4-5:110-115	PR is opened from the current branch head so the merge includes the full branch delta to base not only larch-logs/design	Unrelated WIP commits on CURRENT_BRANCH get squash-merged to main when gh pr merge runs	Require an ephemeral logs-only branch forked from the integration branch or document and enforce that the publish step only runs when the branch contains no extra commits; alternatively merge via a dedicated workflow that does not use create-pr on the feature branch
1	in_scope	important	correctness	scripts/larch-log.sh:124-137	Edge case text says refuse on main while larch-log uses main master and origin/HEAD default detection	design-log-publish could still run on master or repo-specific default while claiming parity with larch-log	Call current_branch_is_default from larch-log.sh or copy its full predicate including symbolic-ref origin/HEAD
1	in_scope	latent	correctness	skills/fix-issue/scripts/find-lock-issue.sh:137-149:854-863	Managed lifecycle title prefixes exclude only IN PROGRESS DONE STALLED	[PLANNED] tracking issues may remain fix-issue-eligible or lack the intended machine-owned exclusion	Decide desired behavior; if planned issues should be excluded extend has_managed_lifecycle_prefix and error copy; add a regression assertion in scripts/test-find-lock-issue or the existing fix-issue harness
1	in_scope	nit	code-quality	scripts/tracking-issue-write.md:9:scripts/tracking-issue-write.sh:12-40:97-104	Contract comments still list only in-progress done stalled	Renamed usage docs drift from behavior	Update tracking-issue-write.md rename line rename semantics block and script header usage to include planned and PLANNED
1	in_scope	nit	correctness	plan.txt:76-87 (skill snippet)	Uses bare scripts/design-log-publish.sh instead of CLAUDE_PLUGIN_ROOT-prefixed paths	Orchestrator cwd miss causes file not found	Match existing Step 5 invocations using "${CLAUDE_PLUGIN_ROOT}/scripts/design-log-publish.sh"
1	in_scope	nit	architecture	Makefile:72-80:663-664	Plan says wire into make lint but not which test-harnesses shard receives the new target	Maintainers must guess shard placement	Add scripts/test-design-log-publish.sh target and register it on a specific test-harnesses-N line plus harness-timer wrapper like test-tracking-issue-write
1	in_scope	nit	architecture	.claude/rules/script-md-siblings.md:19-26	New harness lacks a sibling stub plan	Rule violation or follow-up churn	Add scripts/test-design-log-publish.md stub pointing at scripts/design-log-publish.md
1	in_scope	latent	risk-integration	skills/design/SKILL.md:179	Clarify-router success path runs plan-block-write then cleanup without the new 5b steps documented	Inconsistent lifecycle for clarify-completed designs	Spell out whether rename planned and log publish run after clarify plan writes or remain main-flow only
1	in_scope	important	correctness	skills/design/SKILL.md:163-168	Plan claims SESSION_ID is parsed in Step 0 but the skill only tells the orchestrator to parse SESSION_TMPDIR and reviewer flags	design-log-publish --run-id is empty or wrong; publish aborts or writes under the wrong RUN_ID	Extend Step 0 to parse SESSION_ID from session-setup.sh emit_kv output (see scripts/session-setup.sh:282-283) and carry it into Step 5
1	in_scope	important	risk-integration	skills/design/SKILL.md:48-92:784-785:851-853	Proposed Step 5 prints and extra subprocess output without nesting guards while nested /design forbids verbose stdout and the skill mandates a single terminal machine footer as the last line	Artifact-only nested runs leak warnings; machine footer may no longer be last; dirty-tree sidecar may trip	Guard user-visible prints on empty SESSION_ENV_PATH; capture design-log-publish output internally; keep the machine footer strictly last
1	in_scope	important	risk-integration	skills/design/SKILL.md:805-812 (Step 5b)	Plan snippets use $REPO but the design skill never defines REPO in Step 0 or Step 5	tracking-issue-write.sh and design-log-publish.sh --repo receive an undefined variable	Resolve once with scripts/resolve-repo.sh (pattern in skills/fix-issue/scripts/find-lock-issue.md:7) and thread REPO into Step 5
1	in_scope	important	correctness	scripts/create-pr.sh:4-5:110-115	Log publish uses create-pr on the current branch so the PR merges the full branch delta to the base not just the pathscoped log commit	Unrelated commits on CURRENT_BRANCH can be squash-merged to main alongside logs	Document enforce a logs-only ephemeral branch from the default integration tip or otherwise constrain merge to log-only commits before gh pr merge
1	in_scope	important	correctness	scripts/larch-log.sh:124-137	Edge case prose says refuse on main only while larch-log commit refuses any default branch including master and origin/HEAD	design-log-publish could still run on master or a non-main default while claiming parity with larch-log	Reuse current_branch_is_default logic verbatim when implementing the guard
1	in_scope	latent	correctness	skills/fix-issue/scripts/find-lock-issue.sh:137-149:854-863	Managed lifecycle title prefixes exclude only IN PROGRESS DONE STALLED	[PLANNED] issues may remain eligible for explicit /fix-issue targeting contrary to other machine-owned prefixes	Decide policy; if excluded extend has_managed_lifecycle_prefix and user-facing error text; add harness coverage
1	in_scope	nit	code-quality	scripts/tracking-issue-write.md:9:scripts/tracking-issue-write.sh:12-40:97-104	Docs and header comments still document rename states without planned	Operators and tests read stale contracts	Update tracking-issue-write.md usage line and tracking-issue-write.sh header usage and rename semantics prose for planned and PLANNED
1	in_scope	nit	correctness	plan artifact skills/design insertion (see plan.txt:76-87)	Uses scripts/design-log-publish.sh without CLAUDE_PLUGIN_ROOT	CWD outside repo root breaks publish	Spell invocations as "${CLAUDE_PLUGIN_ROOT}/scripts/design-log-publish.sh" like other Step 5 tools
1	in_scope	nit	architecture	Makefile:72-80:663-664	Plan says wire harness into make lint but omits which test-harnesses shard should own the new target	Maintainers must guess CI shard placement	Add a test-design-log-publish target with harness-timer and register it on a specific test-harnesses-N dependency line
1	in_scope	nit	architecture	.claude/rules/script-md-siblings.md:19-26	New scripts/test-*.sh harness without a sibling stub	Contradicts the repo script documentation sibling rule	Add scripts/test-design-log-publish.md stub pointing at scripts/design-log-publish.md
1	in_scope	latent	risk-integration	skills/design/SKILL.md:179	Clarify-router success path writes the plan then Step 5 hygiene without the new rename and log flush steps	Design completes via clarify with inconsistent title and log retention behavior	Document whether 5b rename and design-log-publish run on the clarify-only exit or remain main accept-only flow
