finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Innovation, Codex-Requirements, Cursor-dyn-Producer Contract, Codex-dyn-Producer Contract, Cursor-dyn-Review Scout Gating, Cursor-dyn-Summary Warning Surface, Codex-dyn-Summary Warning Surface	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_2	Cursor-Innovation	neutral	NO	true	minor	good	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_3	Cursor-Pragmatic	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_4	Codex-Pragmatic, Codex-dyn-Review Scout Gating	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_5	Cursor-Requirements, Cursor-dyn-Review Scout Gating	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_6	Cursor-dyn-Producer Contract, Cursor-dyn-Review Scout Gating	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_7	Cursor-dyn-Review Scout Gating	accepted	YES	true	major	good	true	Claude	NO	false-positive	nit	weak	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_8	Codex-dyn-Review Scout Gating	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_9	Codex-dyn-Summary Warning Surface	neutral	YES	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	NO	partially-true	minor	good	false	Cursor	important	in_scope
FINDING_10	Codex-dyn-Summary Warning Surface	accepted	YES	true	minor	good	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_11	Codex-Arch	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_12	Codex-Pragmatic	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_13	Codex-Requirements	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_14	Codex-Requirements	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_15	Codex-dyn-Review Scout Gating	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_16	Codex-dyn-Summary Warning Surface	rejected	NO	false-positive	uncertain	no-fix	false	Claude	NO	false-positive	nit	weak	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
