schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/test-get-issue-state.sh:117-129	Proposed new cases reuse labels (f) and (g) but harness already defines (f) gh-failure and (g) gh-success	New regression cases would overwrite or duplicate existing assertions; CI would not test missing-value guards	Append missing-value tests as (h) and (i) (or reletter downstream cases) and update the plan/testing section accordingly
1	in_scope	important	correctness	scripts/lint-fix-loop.sh:222-224	Plan drops --capture-stdout and redirects stdout to codex-events.jsonl but never adds --output-last-message to codex exec	--output codex.log stays empty; CODER_LOG_FILE still points at codex.log (lines 344, 409, 435) with no transcript	Mirror launch-codex-implement.sh:334-338: keep shell redirect to codex-events.jsonl and add --output-last-message "$run_dir/codex.log" (and -- before the prompt if needed)
1	in_scope	important	correctness	skills/review-and-fix/scripts/review-and-fix.sh:256-258	Same capture removal without --output-last-message	coder-codex.log empty; cp to coder-output.log (line 258) and CODER_LOG_FILE consumers get an empty log	Add --output-last-message "$round_dir/coder-codex.log" on the codex exec argv; keep cp/tool_log behavior or point tool_log at the last-message file explicitly
1	in_scope	important	architecture	plan.txt:17-20	Plan passes hyphen slugs (codex-lint-fix, etc.) to codex_launcher_record_usage_from_events raw=	Token ledger raw= uses underscores elsewhere (codex_ci_fix, codex_implement, codex_review); hyphen labels fragment per-bucket attribution in token-ledger.sh/timing-report consumers	Use underscore raw labels for record_usage_from_events (codex_lint_fix, codex_negotiation, codex_review_fix) while keeping hyphen entries only in TIMING_TASK_KINDS_ALLOWED for future timing-ledger --task-kind
1	in_scope	important	risk-integration	scripts/lint-fix-loop.sh:217-224	Plan calls codex_launcher_record_usage_from_events "$PLUGIN_ROOT" but script defines no PLUGIN_ROOT	Runtime empty/wrong plugin root breaks parse-codex-usage.sh path; telemetry silently no-ops	Add PLUGIN_ROOT="${CLAUDE_PLUGIN_ROOT:-$(cd "$SCRIPT_DIR/.." && pwd -P)}" (same pattern as launch-codex-ci.sh:12) before sourcing lib-codex-launcher-common.sh
1	in_scope	important	risk-integration	scripts/run-negotiation-round.sh:84-86	Negotiation telemetry step uses PLUGIN_ROOT placeholder with no definition in script	external_launcher_record_usage_from_events cannot resolve scripts/parse-codex-usage.sh	Define PLUGIN_ROOT="${CLAUDE_PLUGIN_ROOT:-$(cd "$SCRIPT_DIR/.." && pwd -P)}" at top of script (negotiation already sources lib-external-launcher-common.sh)
1	in_scope	important	correctness	plan.txt:60-61	Negotiation codex branch specifies 2>"<sidecar-log>" but no concrete sidecar path	Split-stream refactor may write stderr to a nonexistent path, leave 2>&1 behavior, or pick an ad hoc name that is not allowlisted/documented	Name sidecar explicitly (e.g. "${OUTPUT_FILE%.txt}.sidecar" matching launch-codex-ci.sh:171), document in run-negotiation-round.md, and add allowlist coverage if write-round should publish it
1	in_scope	important	correctness	plan.txt:111-117	Plan says test-lint-fix-loop uses STUB_BIN/codex; harness only uses RUN_EXTERNAL_AGENT commit wrappers	test-lint-fix-loop.sh has no codex stub; new codex-events.jsonl assertions will not exercise run_codex without new fixture work	Add a dedicated wrapper/stub case that simulates run_codex (honors --json, writes synthetic JSONL to the stdout redirect target, preserves wrapper.log stderr shape); do not assume STUB_BIN/codex exists
1	in_scope	important	risk-integration	skills/review-and-fix/scripts/test-review-and-fix.sh:55-86	run-external-agent-stub writes APPLIED lines to --output via capture-stdout semantics; plan only extends stub for --json	After dropping --capture-stdout, events file may stay empty while tests assert non-empty coder-codex-events.jsonl	Teach run-external-agent-stub.sh to emit a minimal JSONL line on stdout when --json is present in forwarded argv (and keep writing --output last-message content for cp/tool_log)
1	in_scope	latent	architecture	plan.txt:94-99	New codex-* timing kinds added to lib-timing-kinds.sh but no timing-ledger.sh record-vendor-task at the three sites	Allow-list entries never emitted; timing-report.sh stays blind to these buckets until a follow-up wires --timing-task-kind	Either add timing-ledger record-vendor-task calls (with validated --timing-task-kind) in the same PR or document these kinds as token-ledger-only until wired
1	in_scope	nit	correctness	scripts/lint-fix-loop.sh:223	skills/review-and-fix/scripts/review-and-fix.sh:257	Plan adds --json without the codex exec -- separator used in launch-codex-implement.sh:335-337	Prompt bodies starting with - can be misparsed as flags Add -- before "$prompt_body" (and negotiation prompt via stdin is unaffected) matching launcher argv shape
