Reading the implementation plan and exploring the cited codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/tracking-issue-summary.sh:58-59	Composed upsert payload must not include the marker line	Plan lines 17-18 build body as marker + sections then call upsert-summary with --marker, but tracking-issue-summary.sh prepends marker again, yielding duplicate first lines and breaking exact first-line matching on the next upsert	Pass --content-file with merged sections only (no marker); let upsert-summary own the marker line, or document a new upsert mode that accepts a precomposed full body without re-prefixing
2	in_scope	important	correctness	plan.txt:15-16	Merge path needs full comment bodies, not first-line listing only	Reusing tracking-issue-summary.sh list jq (first line only) cannot preserve Architecture/Code Flow sections from an existing comment; every implement-after-design run would look like a first-time code-flow-only post and drop Architecture	After marker match, fetch full .body for the matched comment id (paginated list for ids, then per-id body or a jq projection that retains the full body) before awk section split
3	in_scope	important	correctness	plan.txt:15-18	Parser input must strip marker preamble before H2 splits	Existing comment bodies are marker, blank line, then sections; feeding the raw body into heading-based awk can treat the marker line as content or mis-align preserved sections	Explicitly strip an exact first-line marker match and following blank line(s) before section parsing; add a harness fixture with marker + both sections
4	in_scope	important	risk-integration	skills/implement/scripts/test-step-7a.sh:80-99	Golden expectations still encode legacy flat summary shape	Harness still asserts Architecture diagram not available. plus raw Code Flow block in summary-diagrams.md; post-change contract is stable-marker comment with H2 sections and no architecture placeholder when /design did not run	Revise green/skip/failure fixtures to assert upsert-diagrams-comment.sh invocation, stable marker, and code-flow-section.md shape (H2 + body); drop architecture placeholder expectations
5	in_scope	important	architecture	plan.txt:18	Redaction order in NEW helper synopsis disagrees with tracking-issue-summary.sh	Plan line 18 lists redact-secrets then redact-tmpdir-paths; tracking-issue-summary.sh applies redact-tmpdir-paths then redact-secrets (lines 60-63); dry-run stdout could diverge from posted body if implementer follows line 18	Either omit pre-upsert redaction and rely solely on upsert-summary, or match tmpdir-paths then secrets for any helper-local redaction (including --dry-run)
6	in_scope	important	architecture	skills/design/SKILL.md:30	Anti-halt sub-step chain omits new 5c.5	Inserting 5c.5 without updating the 5c.1→5c.7→5c.8 transition list risks agents halting after plan-block-write or skipping diagram publish before REPO-dependent steps	Add 5c.5 to the anti-halt chain and Step 5c item renumbering (including skip lists on plan-block-write failure) in the same edit
7	in_scope	important	risk-integration	plan.txt:63-64	code-flow-section.md may duplicate ## Code Flow Diagram	code-flow-diagram.md from generate-code-flow-diagram.sh already includes the H2; wrapping again in code-flow-section.md produces duplicate headings and breaks section boundaries on merge	Specify code-flow-section.md is either a copy of code-flow-diagram.md or a synthesized H2+body without re-wrapping an H2-prefixed source
8	in_scope	latent	correctness	plan.txt:35-36	Awk fence gate limited to mermaid fences	Headings inside non-mermaid ``` blocks could be mistaken for section boundaries, dropping preserved content on merge	Track generic fenced-code depth (any ``` opener/closer) or document/reject non-mermaid fences in diagram inputs
9	in_scope	latent	architecture	docs/run-logs.md:305-323	Docs still describe implement-only Step 7a diagrams ownership	After merge, Architecture is written at /design Step 5c.5; stale docs mislead operators and reviewers about when/where diagrams appear	Update run-logs.md (and any configuration-and-permissions hits) to joint issue-scoped marker, /design publish timing, and stable <!-- larch:diagrams v1 --> form
10	in_scope	nit	risk-integration	plan.txt:123-125	Orphan deletion list omits agent-lint.toml	Deleting compose-architecture-sketch* without removing agent-lint.toml allowlist entries (lines 1446-1447) can fail make lint / agent-lint	Remove harness paths from agent-lint.toml in the same commit as Makefile test-harnesses-20 shard edits
11	in_scope	nit	code-quality	plan.txt:50-51	REPO for 5c.5 left as either/or	Step 5c.5 sits before item 6 REPO resolve; ${REPO:+--repo} is often empty on forked consumers, relying on gh default repo for diagram upsert	Move resolve-repo.sh (Step 5c item 6) before 5c.5 or teach upsert-diagrams-comment.sh to resolve repo identically before any gh api call
12	[OUT_OF_SCOPE]	latent	architecture	CHANGELOG.md:3649	ARCHITECTURE_DIAGRAM_FILE still documented in manifest reuse	Manifest hydration may still set ARCHITECTURE_DIAGRAM_FILE with no remaining reader after step-7a/ship-pr removal; confuses debugging, not a functional regression in this PR	Follow-up: drop ARCHITECTURE_DIAGRAM_FILE from manifest reuse docs/vars or repurpose for issue-comment sourcing only

**1. [correctness]** `scripts/tracking-issue-summary.sh:58-59` — The plan’s composed body includes the marker line, but `upsert-summary` always prepends `--marker` again. That produces a double marker, breaks exact first-line matching on the next upsert, and can strand updates on the wrong comment.

**2. [correctness]** `plan.txt:15-16` — The merge path must load full comment bodies. Copying the list pattern that only retains `split("\n")[0]` cannot preserve Architecture when /implement runs after /design.

**3. [correctness]** `plan.txt:15-18` — Before awk section splits, strip the marker preamble (marker line + blank line) from fetched bodies; otherwise preserved sections can be wrong or empty.

**4. [risk-integration]** `skills/implement/scripts/test-step-7a.sh:80-99` — Golden tests still expect the legacy flat `summary-diagrams.md` shape with an architecture placeholder. The plan’s new contract (stable marker, H2 sections, no architecture placeholder without /design) requires explicit harness rewrites.

**5. [architecture]** `plan.txt:18` — Redaction order in the NEW helper synopsis conflicts with `tracking-issue-summary.sh` (tmpdir-paths then secrets). Dry-run output could diverge from what gets posted.

**6. [architecture]** `skills/design/SKILL.md:30` — Anti-halt sub-step chain should include **5c.5** alongside renumbered 5c items so agents do not halt between plan-block-write and diagram publish.

**7. [risk-integration]** `plan.txt:63-64` — Clarify whether `code-flow-section.md` is a straight copy of `code-flow-diagram.md` or a wrapper, to avoid duplicate `## Code Flow Diagram` headings.

**8. [latent/correctness]** `plan.txt:35-36` — Fence-aware parsing should cover all fenced code, not only ` ```mermaid `, or in-fence `##` lines can still corrupt merges.

**9. [latent/architecture]** `docs/run-logs.md:305-323` — Listed for doc update but still describes implement-only Step 7a ownership; needs joint `/design` 5c.5 + stable marker semantics.

**10. [nit/risk-integration]** `plan.txt:123-125` — Also remove deleted harness paths from `agent-lint.toml`, not only the Makefile.

**11. [nit/architecture]** `plan.txt:50-51` — Resolve `REPO` before 5c.5 or inside the helper so forked consumers do not post diagrams to the hub default repo.

**12. [OUT_OF_SCOPE]** `CHANGELOG.md:3649` — `ARCHITECTURE_DIAGRAM_FILE` manifest hydration may become dead documentation after this change.
