finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-diagnostics-parity-output.txt	accepted	YES	true	major	adequate	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	adequate	false	cursor-pragmatism
FINDING_2	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	adequate	false	cursor-pragmatism
FINDING_3	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_4	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_5	codex-generic-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_6	codex-generic-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_7	codex-generic-output.txt|dyn-diagnostics-parity-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_8	dyn-diagnostics-parity-output.txt	rejected	NO	partially-true	minor	good	false	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	adequate	false	cursor-pragmatism
FINDING_9	dyn-diagnostics-parity-output.txt	neutral	NO	true	minor	good	false	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_10	dyn-diagnostics-parity-output.txt	neutral	YES	true	minor	adequate	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
