finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_2	cursor-specialist-correctness-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_3	codex-specialist-correctness-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_4	cursor-specialist-edge-cases-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_5	cursor-specialist-edge-cases-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_6	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	nit	good	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	oos
FINDING_8	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	cursor-validity	YES	true	minor	good	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism	oos
FINDING_9	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_10	cursor-specialist-edge-cases-output.txt	rejected	NO	partially-true	minor	weak	false	cursor-validity	NO	partially-true	minor	weak	false	cursor-plan-fidelity	NO	partially-true	nit	adequate	false	cursor-pragmatism	oos
FINDING_11	codex-specialist-edge-cases-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_12	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_14	cursor-specialist-testing-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	oos
FINDING_15	codex-specialist-testing-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_16	codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_17	dyn-migration-parity-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_18	dyn-migration-parity-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_19	dyn-migration-parity-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_20	dyn-migration-parity-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_21	dyn-migration-parity-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_22	dyn-migration-parity-output.txt	neutral	YES	true	minor	good	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	oos
FINDING_23	dyn-migration-parity-output.txt	accepted	YES	true	minor	adequate	false	cursor-validity	YES	true	minor	good	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism	oos
FINDING_24	dyn-migration-parity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_25	dyn-migration-parity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_26	dyn-schema-tolerance-forward-compat-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	oos
FINDING_27	dyn-schema-tolerance-forward-compat-output.txt	neutral	NO	true	major	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_28	dyn-schema-tolerance-forward-compat-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_29	dyn-schema-tolerance-forward-compat-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_30	dyn-schema-tolerance-forward-compat-output.txt	neutral	YES	true	minor	adequate	false	cursor-validity	NO	partially-true	minor	weak	false	cursor-plan-fidelity	NO	partially-true	minor	weak	false	cursor-pragmatism	oos
FINDING_31	dyn-schema-tolerance-forward-compat-output.txt	rejected	NO	true	nit	weak	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
