finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_2	Cursor-Arch, Cursor-Requirements	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_3	Cursor-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_4	Cursor-Innovation	neutral							NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_5	Cursor-Innovation	accepted							YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_6	Cursor-Innovation	neutral							NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_7	Cursor-Innovation	neutral							NO	false-positive	nit	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_8	Cursor-Innovation	neutral							NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_9	Codex-Innovation	rejected							NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent	in_scope
FINDING_10	Cursor-Pragmatic	neutral							NO	partially-true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_11	Cursor-Requirements	accepted							YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
OOS_1	Cursor-Arch	rejected							NO	partially-true	major	adequate	false	Codex	NO	true	major	adequate	false	Cursor	important	oos
OOS_2	Cursor-Innovation	rejected							NO	partially-true	major	adequate	false	Codex	NO	true	major	good	false	Cursor	latent	oos
OOS_3	Cursor-Innovation	rejected							NO	partially-true	nit	adequate	false	Codex	NO	partially-true	nit	weak	false	Cursor	latent	oos
OOS_4	Cursor-Innovation	rejected							NO	partially-true	nit	adequate	false	Codex	NO	true	nit	weak	false	Cursor	latent	oos
OOS_5	Cursor-Pragmatic	rejected							NO	partially-true	major	adequate	false	Codex	NO	true	major	adequate	false	Cursor	important	oos
OOS_6	Cursor-Requirements	rejected							NO	partially-true	major	adequate	false	Codex	NO	true	major	adequate	false	Cursor	important	oos
