1	era auto-detect calls `gh` / `_ground_truth_calibration_incentive_shipped` without resolving an `owner/repo` string. with `issues=[]` and `repo=none`, the shipped check always returns `calibration_incentive_check_unavailable`, so auto-boundary degrades even when `gh` works. worse, resolving repo from the consumer clone’s git toplevel (or ambient `gh` default) can query the wrong repository for incentive issue #5461, which lives on the plugin source repo (`character-ai/larch`), not necessarily the cwd checkout.
1	reusing `_ground_truth_calibration_incentive_shipped` / `_incentive_issue_from_gh` alone cannot produce an era cutoff. the shipped helper returns only `(bool, str)` with no boundary datetime. `_incentive_issue_from_gh` fetches only `state,statereason,closedbypullrequestsreferences`, omitting `closedat` (needed for the cutoff) and `labels`/`body` (needed for `_has_not_planned_signal`). an implementer can pass the shipped gate yet still have no authoritative boundary, causing wrong pre/post splits or silent fallback.
1	the plan takes the post-era boundary from issue close/merge time but does not define behavior when a shipped-shaped #5461 payload lacks a parseable `closedat`. failure modes cover malformed json and closed-without-pr, not this case. an implementer may guess a timestamp (e.g. from pr refs or `updated_at`) and mis-segment corpora.
1	plan failure modes require argparse-style exit `2` for malformed `--era-since-date`. reusing `analyze_issues._parse_ground_truth_since_date` raises `systemexit` with default exit `1` and `error=invalid --since-date`, which may not match the documented contract.
2	the planned single-fetch `gh issue view --json` field list omits `number`, but auto-boundary passes `issues=[payload]` into `_ground_truth_calibration_incentive_shipped`, which builds `_merged_issue_index` via `issue_number(issue)` (`issue["number"]` required). without `number`, auto era detection raises `keyerror` inside `_merged_issue_index`, or lookup misses and falls back to `_incentive_issue_from_gh` (a second fetch omitting `closedat`/labels/body), breaking the one-fetch boundary contract and yielding boundary-unavailable or wrong shipped results even when #5461 is closed-with-pr and the first response was valid.
3	the auto-boundary path only degrades on a non-zero `gh` exit or json parse failure. a missing `gh` executable raises `filenotfounderror` before those branches, so the planned no-`gh` test will traceback instead of rendering the required boundary-unavailable markdown. `/voter-calibration --era` fails anywhere `gh` is not on path, leaving the fallback path unshipped and making required no-`gh` coverage impossible to pass.
3	primary repo resolution uses `git -c <plugin_root> config`, but the fallback `gh repo view --json namewithowner` is only described as "scoped to `plugin_root`" without a mechanism. invoking `gh` from the consumer clone cwd can resolve the wrong `owner/repo` and query #5461 on a non-plugin repository. in the common skill path the operator runs `/voter-calibration` from a consumer clone while `plugin_root` is the plugin tree. if `plugin_root` lacks `remote.origin.url` and the fallback runs unscoped, `gh repo view` resolves the consumer repo, `gh issue view 5461 --repo <consumer>` can return a different issue #5461, and auto era boundary comes from the wrong close time or a misleading shipped gate.
3	the binding scope asks for segmented agreement plus severity scoreboards. the plan narrows rendering to reusing `_render` scoreboard sections per corpus slice and `--era all` copy only calls out high rate and calibration score. an implementer can ship era mode with severity tables only and miss the agreement readout the feature explicitly requested.
3	the plan adds pre-boundary, post-boundary, and missing-`started_at` manifests and lists `--era all|pre|post` invocations, but only mandates exclusion counting and gh-boundary cases. wrong bucketing (e.g. keyed on basename or mis-resolved `run_dir`) can still pass malformed-date and missing-`started_at` tests while corpora are merged or swapped.
4	`_resolve_incentive_repo` must not call `_detect_repo()`. the plan points implementers at `_detect_repo()` slug rules, but that helper always runs unscoped `gh repo view` before `git config` (`python/analyze_issues.py:3399-3407`). calling or importing it revives consumer-cwd wrong-repo resolution for #5461 despite the plugin-root-only contract.
