Reviewing the plan and comparing proposed shared helpers against existing call-site behavior.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	blocking	correctness	plan.txt:207-210, python/plan_review_panel.py:271-277, python/implement_dispatch.py:87-95	plan_review_panel and implement_dispatch KV repoint specs are swapped	Current plan_review_panel uses last-wins parsing with no key filter; implement_dispatch uses first-wins setdefault plus [A-Z0-9_]+ filtering. Plan assigns first_wins=True and key_pattern to plan_review_panel and bare parse_kv to implement_dispatch, inverting both behaviors on dispatcher stdout envelopes.	Repoint plan_review_panel to plain larch_io.parse_kv (last-wins defaults). Repoint implement_dispatch to larch_io.parse_kv(..., first_wins=True, key_pattern=r"^[A-Z0-9_]+$") or allowed_keys equivalent.
1	in_scope	blocking	correctness	plan.txt:11, plan.txt:104-106, plan.txt:128-130, plan.txt:198-200, plan.txt:203-205, plan.txt:212-215, plan.txt:217-221	Proposed parse_kv default skip_empty_key=True regresses most bare repoints	Majority of current _parse_kv copies (design_publish, design_postplan, plan_review_round, ci_monitor, phantom, decompose, preflight, plan_quality, review_tally, bootstrap) store empty-key lines when present. Plan lists many sites as bare larch_io.parse_kv without skip_empty_key=False.	Change shared default to skip_empty_key=False, or require every listed bare repoint to pass skip_empty_key=False explicitly in the plan and implementation.
1	in_scope	blocking	correctness	plan.txt:177-181, python/stall_recovery.py:157-165	stall_recovery last-match read_kv not pinned to first_match=False	stall_recovery.read_kv scans the whole file and keeps overwriting on each prefix match (last wins) while stripping only trailing \r. Shared read_kv defaults first_match=True, which returns the first duplicate key.	Repoint stall_recovery.read_kv to larch_io.read_kv(..., first_match=False, strip_trailing_cr=True) and add a parity test for duplicate keys.
1	in_scope	blocking	correctness	plan.txt:148-153, python/run_logs.py:561-574	run_logs KV file read encoding contract omitted	_read_kv_file reads with strict UTF-8 (no errors=replace) and returns "" on UnicodeDecodeError. Plan routes through larch_io.read_kv whose API defaults errors="replace", which decodes invalid bytes instead of failing closed to "".	Call larch_io.read_kv(..., errors="strict", on_error_default=True) or an equivalent documented strict path that preserves empty-string fallback on decode failure.
1	in_scope	important	correctness	plan.txt:87-90, python/design_lifecycle.py:213-256	Issue-cited design_lifecycle env readers are not repointed	The issue lists eight near-identical env readers in design_lifecycle.py; the plan only replaces _write_text. _read_env_value, _read_env_value_last, and _read_env_values have non-generic semantics (symlink guard, value-or-default, last-match with skip-empty updates).	Extend the plan with explicit repoint steps per helper, including value-or-default and last-match-only-when-nonempty knobs, or document why each stays local.
1	in_scope	important	correctness	python/design_lifecycle.py:218-221, plan.txt:87-90	_read_env_value treats empty value as default	_read_env_value returns default when the RHS after the prefix is empty (value or default). Generic read_kv/larch_io.kv_value returns "" for KEY= lines. Naive shared repoint changes env resolution when keys are present but empty.	Add a dedicated parameter (e.g. empty_value_means_default) or keep _read_env_value local; cover KEY= with parity tests.
1	in_scope	important	correctness	plan.txt:202-205, python/ci_monitor.py:1435-1441	ci_monitor KV repoint omits strip_value=True	ci_monitor._parse_kv_output strips all surrounding whitespace from values via value.strip(). ci_agentic_fix is correctly specified with strip_value=True; ci_monitor is listed as bare parse_kv.	Repoint ci_monitor to larch_io.parse_kv(..., strip_value=True) to match current stdout parsing.
1	in_scope	important	correctness	plan.txt:166-170, python/implement_dispatch.py:73-77	implement_dispatch atomic write temp naming not specified	_write_text_atomic uses a deterministic sibling path.name + ".tmp" via with_name, not mkstemp. Plan only says replace _write_text_atomic with larch_io.atomic_write and does not pin temp_name/suffix behavior; a mkstemp default would change temp-file identity and collision semantics.	Specify larch_io.atomic_write(..., temp_name=path.with_name(path.name + ".tmp")) or an explicit non-mkstemp mode matching with_name sibling naming.
1	in_scope	important	completeness	python/tokens.py:819-822, python/tokens.py:1412-1417, plan.txt:34-268	tokens.py duplicate IO sites omitted from plan	Issue evidence cites tokens.py KV loops and _atomic_text; the plan file list has no tokens.py entry. _atomic_text also sets newline="\n" on fdopen, which differs from plain write_text.	Add python/tokens.py to Files to modify/create with explicit repoint notes for allowed-keys KV reads and atomic_write newline/mode parity.
1	out_of_scope	latent	architecture	plan.txt:10-20	[SCOPE-REDUCTION] Shared API exposes many parity knobs	The parameterized surface may be harder to audit than the duplicated helpers it replaces, increasing the risk of per-caller misconfiguration (as seen above).	Consider defaulting shared helpers to the most common last-wins/no-strip contract and requiring explicit flags only at divergent sites; keep the module either way.
