finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness|cursor-specialist-testing	neutral	NO	false-positive	major	weak	false	codex-validity	NO	false-positive	nit	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	oos
FINDING_2	cursor-specialist-correctness	neutral	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness	neutral	YES	true	minor	good	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_4	codex-specialist-correctness|cursor-specialist-edge-cases	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	partially-true	major	adequate	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-edge-cases	neutral	NO	partially-true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	partially-true	major	adequate	false	codex-pragmatism	in_scope
FINDING_6	codex-specialist-edge-cases	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases	rejected	NO	partially-true	minor	weak	false	codex-validity	NO	false-positive	minor	weak	false	codex-plan-fidelity	NO	false-positive	major	weak	false	codex-pragmatism	in_scope
FINDING_8	codex-specialist-edge-cases	rejected	NO	partially-true	major	adequate	false	codex-validity	NO	partially-true	major	adequate	true	codex-plan-fidelity	NO	partially-true	major	adequate	false	codex-pragmatism	in_scope
FINDING_9	codex-specialist-edge-cases	rejected	NO	partially-true	major	adequate	false	codex-validity	NO	partially-true	major	adequate	true	codex-plan-fidelity	NO	partially-true	major	adequate	false	codex-pragmatism	in_scope
FINDING_10	cursor-specialist-edge-cases	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_11	cursor-specialist-testing	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_12	cursor-specialist-testing	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_13	codex-specialist-testing	rejected	NO	partially-true	nit	weak	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_14	codex-specialist-testing	rejected	NO	partially-true	nit	weak	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_15	cursor-specialist-correctness	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	oos
FINDING_16	cursor-specialist-correctness	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
FINDING_17	cursor-specialist-edge-cases|codex-specialist-edge-cases	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	no-fix	false	codex-pragmatism	oos
FINDING_18	cursor-specialist-edge-cases	neutral	NO	partially-true	minor	adequate	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	NO	uncertain	minor	adequate	true	codex-pragmatism	oos
