finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Dependency Migration Auditor, Codex-dyn-Dependency Migration Auditor	accepted	YES	true	minor	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Dependency Migration Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Dependency Migration Auditor, Codex-dyn-Dependency Migration Auditor	neutral	NO	partially-true	minor	excellent	false	codex-validity	NO	false-positive	nit	good	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	oos
FINDING_4	Codex-dyn-Dependency Migration Auditor	rejected	NO	false-positive	minor	excellent	false	codex-validity	NO	false-positive	nit	excellent	false	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	major	in_scope
FINDING_5	Codex-Arch	rejected	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Innovation, Cursor-Requirements	rejected	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	minor	in_scope
FINDING_7	Cursor-dyn-Dependency Migration Auditor	rejected	NO	false-positive	minor	adequate	false	codex-validity	NO	false-positive	nit	excellent	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	in_scope
FINDING_8	Cursor-Pragmatic, Cursor-Requirements	neutral	NO	partially-true	minor	good	false	codex-validity	NO	false-positive	nit	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	in_scope
FINDING_9	Cursor-Innovation	accepted	NO	partially-true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_10	Codex-Pragmatic	rejected	NO	false-positive	minor	adequate	false	codex-validity	NO	false-positive	nit	adequate	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_11	Codex-dyn-Dependency Migration Auditor	rejected	NO	false-positive	minor	good	false	codex-validity	NO	false-positive	nit	good	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_12	Codex-Requirements	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	major	in_scope
OOS_1	Cursor-Innovation	accepted	NO	partially-true	nit	no-fix	false	codex-validity	YES	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	no-fix	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Innovation	accepted	YES	true	nit	no-fix	false	codex-validity	YES	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	no-fix	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Requirements	accepted	YES	true	nit	no-fix	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	YES	true	nit	no-fix	false	codex-pragmatism	minor	oos
